_id,pais_de_origen,sector_subsector_rama,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
327105,Italia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
326163,Francia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
325970,Federación de Rusia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
324096,"China, República Popular de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
323885,Chile,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
322880,Australia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
322631,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2016,1,2016-03-01,0,0.0
297914,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,C,
297677,"Venezuela, República Bolivariana de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
295691,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
295615,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
294610,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
294482,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
293349,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,93.465573510000027,93.46557351000001
292345,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,0,0.0
291336,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,C,
291114,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,2015-03-01,C,
65249,Bélgica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
65410,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
65462,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,C,
66438,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
67697,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,10.421140000000003,10.421140000000005
68545,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
68830,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
69963,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,0,0.0
70914,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,C,
71564,Suiza,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,2008-03-01,C,
550233,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
551237,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,13.889852551751437,13.889852551751437
552370,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
552498,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
553503,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
553579,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
554454,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,C,
555104,Suiza,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2023,1,2023-03-01,0,0.0
